INPUT_TABLE
Variable ID
Indiaplantelec_logit

region,supplysector,subsector0,subsector1,subsector,logit.year.fillout,logit.exponent,logit.type
India,electricity,MahiR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,MahiR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,TaptiR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,TaptiR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,TaptiR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,BengalW,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,BengalW,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,BengalW,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,BrahmaniR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,MahanadiR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,MahanadiR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,MahanadiR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,GodavariR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,GodavariR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,GodavariR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstNE,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,IndCstNE,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,IndCstNE,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstW,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,IndCstW,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,IndCstW,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,KrishnaR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,KrishnaR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,KrishnaR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstE,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,IndCstE,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,IndCstE,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,PennarR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,PennarR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,PennarR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,CauveryR,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
India,electricity,CauveryR,refined liquids,refined liquids (CC),1975,-10,relative.cost.logit
India,electricity,CauveryR,refined liquids,refined liquids (CC CCS),1975,-10,relative.cost.logit
India,electricity,IndCstS,refined liquids,refined liquids (steam/CT),1975,-10,relative.cost.logit
