INPUT_TABLE
Variable ID
Indiacoolingelec_logit

region,supplysector,subsector0,subsector1,subsector,stub.technology,logit.year.fillout,logit.exponent,logit.type
India,electricity,IrrawaddyR,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,IrrawaddyR,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IrrawaddyR,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,IrrawaddyR,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,KrishnaR,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,KrishnaR,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,KrishnaR,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,KrishnaR,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,KrishnaR,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,KrishnaR,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IndCstE,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,IndCstE,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,IndCstE,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,IndCstE,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IndCstE,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,IndCstE,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,PennarR,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,PennarR,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,PennarR,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,PennarR,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,PennarR,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,PennarR,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,CauveryR,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,CauveryR,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,CauveryR,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,CauveryR,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,CauveryR,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,CauveryR,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IndCstS,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,IndCstS,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,IndCstS,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,IndCstS,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IndCstS,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,IndCstS,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,NarmadaR,solar,solar,PV,1975,-6,relative.cost.logit
India,electricity,NarmadaR,solar,solar,PV_storage,1975,-6,relative.cost.logit
India,electricity,NarmadaR,solar,CSP,CSP (recirculating),1975,-6,relative.cost.logit
India,electricity,NarmadaR,solar,CSP,CSP (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,NarmadaR,solar,CSP_storage,CSP_storage (recirculating),1975,-6,relative.cost.logit
India,electricity,NarmadaR,solar,CSP_storage,CSP_storage (dry_hybrid),1975,-6,relative.cost.logit
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (once through),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (seawater),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (recirculating),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (cooling pond),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (conv pul),coal (conv pul) (dry cooling),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (IGCC),coal (IGCC) (once through),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (IGCC),coal (IGCC) (seawater),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (IGCC),coal (IGCC) (recirculating),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (IGCC),coal (IGCC) (dry cooling),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (conv pul CCS),coal (conv pul CCS) (once through),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (conv pul CCS),coal (conv pul CCS) (seawater),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (conv pul CCS),coal (conv pul CCS) (recirculating),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (conv pul CCS),coal (conv pul CCS) (dry cooling),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (IGCC CCS),coal (IGCC CCS) (once through),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (IGCC CCS),coal (IGCC CCS) (seawater),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (IGCC CCS),coal (IGCC CCS) (recirculating),1975,-10,relative.cost.logit
India,electricity,IndusR,coal,coal (IGCC CCS),coal (IGCC CCS) (dry cooling),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (once through),1975,-10,relative.cost.logit
India,electricity,SabarmatiR,coal,coal (conv pul),coal (conv pul) (seawater),1975,-10,relative.cost.logit
