INPUT_TABLE
Variable ID
IndiaBasinselecgen

region,supplysector,subsector0,subsector1,subsector,stub.technology,year,calOutputValue,share.weight.year,subs.share.weight,tech.share.weight
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (once through),1990,0,1990,0,0
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (once through),2005,0.00043255,2005,1,1
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (once through),2005,0.001344931,2005,1,1
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (once through),2005,4.32E-05,2005,1,1
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (once through),2005,9.78138E-05,2005,1,1
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (once through),2005,0.000144702,2005,1,1
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (once through),2005,9.00634E-05,2005,1,1
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (once through),2005,0.000231784,2005,1,1
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (once through),2005,0.000456521,2005,1,1
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (once through),2005,7.2431E-05,2005,1,1
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (once through),2005,0.000195753,2005,1,1
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (once through),2005,0.000387863,2005,1,1
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (once through),2005,0.000119785,2005,1,1
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (once through),2005,8.76846E-05,2005,1,1
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (once through),2005,0.000167873,2005,1,1
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (once through),2005,9.75878E-05,2005,1,1
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (once through),2005,0.000106769,2005,1,1
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (once through),2010,0.001251653,2010,1,1
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (once through),2010,0.003891774,2010,1,1
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (once through),2010,0.000125171,2010,1,1
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (once through),2010,0.00028304,2010,1,1
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (once through),2010,0.000418717,2010,1,1
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (once through),2010,0.000260612,2010,1,1
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (once through),2010,0.000670705,2010,1,1
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (once through),2010,0.001321019,2010,1,1
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (once through),2010,0.000209591,2010,1,1
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (once through),2010,0.000566442,2010,1,1
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (once through),2010,0.001122344,2010,1,1
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (once through),2010,0.000346616,2010,1,1
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (once through),2010,0.000253729,2010,1,1
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (once through),2010,0.000485768,2010,1,1
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (once through),2010,0.000282386,2010,1,1
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (once through),2010,0.000308952,2010,1,1
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (once through),2015,0.002305518,2015,1,1
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (once through),2015,0.007168565,2015,1,1
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (once through),2015,0.000230563,2015,1,1
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (once through),2015,0.000521353,2015,1,1
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (once through),2015,0.000771268,2015,1,1
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (once through),2015,0.000480043,2015,1,1
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (once through),2015,0.001235424,2015,1,1
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (once through),2015,0.002433289,2015,1,1
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (once through),2015,0.000386062,2015,1,1
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (once through),2015,0.001043374,2015,1,1
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (once through),2015,0.002067334,2015,1,1
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (once through),2015,0.000638459,2015,1,1
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (once through),2015,0.000467363,2015,1,1
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (once through),2015,0.000894775,2015,1,1
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (once through),2015,0.000520148,2015,1,1
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (once through),2015,0.000569083,2015,1,1
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (seawater),1975,0,1975,0,0
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (seawater),1990,0,1990,0,0
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (seawater),2005,0.000185379,2005,1,1
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (seawater),2005,0.000576399,2005,1,1
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (seawater),2005,1.85E-05,2005,1,1
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (seawater),2005,4.19E-05,2005,1,1
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (seawater),2005,6.20E-05,2005,1,1
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (seawater),2005,3.86E-05,2005,1,1
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (seawater),2005,9.93358E-05,2005,1,1
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (seawater),2005,0.000195652,2005,1,1
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (seawater),2005,3.10E-05,2005,1,1
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (seawater),2005,8.38943E-05,2005,1,1
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (seawater),2005,0.000166227,2005,1,1
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (seawater),2005,5.13E-05,2005,1,1
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (seawater),2005,3.76E-05,2005,1,1
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (seawater),2005,7.1946E-05,2005,1,1
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (seawater),2005,4.18E-05,2005,1,1
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (seawater),2005,4.58E-05,2005,1,1
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000536423,2010,1,1
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (seawater),2010,0.001667903,2010,1,1
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (seawater),2010,5.36E-05,2010,1,1
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000121303,2010,1,1
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (seawater),2010,0.00017945,2010,1,1
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000111691,2010,1,1
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000287445,2010,1,1
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000566151,2010,1,1
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (seawater),2010,8.98248E-05,2010,1,1
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000242761,2010,1,1
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000481004,2010,1,1
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (seawater),2010,0.00014855,2010,1,1
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000108741,2010,1,1
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000208186,2010,1,1
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000121023,2010,1,1
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (seawater),2010,0.000132408,2010,1,1
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000988079,2015,1,1
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (seawater),2015,0.003072243,2015,1,1
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (seawater),2015,9.88127E-05,2015,1,1
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000223437,2015,1,1
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000330543,2015,1,1
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000205733,2015,1,1
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000529468,2015,1,1
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (seawater),2015,0.001042838,2015,1,1
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000165455,2015,1,1
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (seawater),2015,0.00044716,2015,1,1
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000886,2015,1,1
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000273625,2015,1,1
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000200299,2015,1,1
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000383475,2015,1,1
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000222921,2015,1,1
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (seawater),2015,0.000243892,2015,1,1
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,IndCstS,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,NarmadaR,biomass,biomass (conv),biomass (conv) (recirculating),1975,0,1975,0,0
India,electricity,SabarmatiR,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,GangesR,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,MahiR,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,TaptiR,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,BengalW,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,BrahmaniR,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,MahanadiR,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,GodavariR,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,IndCstNE,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,IndCstW,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,KrishnaR,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,IndCstE,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,PennarR,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
India,electricity,CauveryR,biomass,biomass (conv),biomass (conv) (recirculating),1990,0,1990,0,0
